pid,0,2,4,6,8,12,15,19,21,22,24,26,34,37,38,41,46,47,49
0,1,2,1,4,4,1,7,7,7,1,1,4,1,7,1,7,1,7,7
1,6,6,5,7,5,3,5,6,5,6,4,5,6,4,6,7,2,5,5
2,1,3,1,1,4,2,5,6,4,1,1,1,1,1,3,5,5,5,5
3,4,3,5,6,6,4,2,3,2,4,5,4,7,2,5,4,3,5,3
4,5,4,2,3,6,5,6,4,4,5,5,5,5,3,2,4,5,3,4
5,5,4,5,4,4,2,5,6,7,3,5,3,5,7,6,6,3,6,6
6,7,7,7,7,7,1,1,3,1,7,7,7,7,1,7,1,7,1,1
7,1,1,1,1,4,1,7,7,7,1,1,1,1,5,1,7,1,7,7
8,6,7,7,7,5,7,2,1,3,7,7,6,7,1,7,1,7,1,2
9,2,3,3,4,4,3,4,5,3,3,4,4,4,4,3,5,3,5,4
10,5,2,2,5,5,4,4,5,3,3,2,3,3,4,4,3,3,5,2
11,1,1,1,1,3,1,2,4,2,2,1,1,2,3,1,3,4,3,3
12,4,2,4,1,5,4,1,5,6,5,4,4,3,3,1,3,5,4,4
13,4,5,5,3,4,2,4,5,6,3,3,7,4,2,3,3,3,6,6
14,2,3,3,2,2,6,4,3,3,5,5,4,4,1,5,4,3,3,3
15,1,2,1,1,2,1,6,6,6,1,1,1,6,2,2,6,1,7,6
16,6,6,6,6,6,6,4,3,2,5,5,7,6,2,7,4,6,4,3
17,2,3,3,3,4,2,6,6,6,2,2,3,5,4,3,6,2,6,5
18,2,1,3,3,2,2,6,6,7,4,2,5,7,6,1,6,2,7,7
19,6,6,5,6,5,5,1,5,1,5,6,6,6,1,6,2,6,3,2
20,6,5,4,4,4,4,5,4,5,4,5,5,5,2,4,3,5,4,4
21,5,3,2,2,1,5,7,7,7,2,2,5,2,6,2,5,1,6,7
22,2,2,1,2,3,2,5,4,6,1,1,1,2,5,2,6,3,5,5
23,2,2,1,1,2,2,4,6,5,2,1,2,2,7,2,7,2,6,6
24,6,6,5,5,5,5,3,2,3,6,4,6,3,1,3,2,6,3,3
25,6,6,6,6,7,7,4,6,3,7,7,6,6,2,7,2,6,3,4
26,2,2,1,6,6,2,3,6,6,3,5,3,3,4,2,4,2,5,6
27,3,2,3,2,2,2,6,6,7,2,3,2,2,5,2,6,2,6,6
28,3,5,4,4,5,5,5,6,3,4,5,4,3,2,5,3,4,5,3
29,5,5,3,6,5,4,5,3,1,6,3,4,6,1,7,3,5,3,2
30,3,5,3,6,6,2,4,2,4,4,5,3,5,6,6,7,2,6,3
31,2,2,4,1,4,4,7,6,7,2,4,2,2,7,1,7,4,7,7
32,1,1,1,1,4,2,3,6,6,1,1,4,1,1,2,7,2,3,1
33,7,6,5,6,5,6,1,4,3,5,5,7,7,1,5,1,5,4,3
34,7,5,3,3,4,5,5,5,5,4,5,5,6,4,5,5,3,4,4
35,5,5,5,5,5,5,3,4,4,6,5,5,4,3,5,3,5,4,4
36,4,4,5,5,5,4,6,7,7,4,4,5,5,5,5,6,3,5,6
37,3,2,2,3,4,2,4,6,3,2,3,2,3,1,2,6,2,6,3
38,2,4,2,4,6,2,6,6,6,3,2,4,6,3,3,4,6,6,6
39,4,4,4,6,5,4,6,5,5,5,5,4,6,4,6,5,5,5,5
40,1,1,2,2,5,2,7,7,7,2,1,1,1,7,2,7,1,5,6
41,6,6,7,7,6,5,3,1,1,7,6,7,7,1,6,2,6,2,1
42,3,1,6,6,4,4,1,4,7,7,4,6,1,7,2,7,7,7,7
43,4,4,3,6,4,3,5,6,5,5,4,6,4,7,3,5,3,5,5
44,6,6,3,7,7,6,2,2,4,7,6,5,7,1,7,1,7,7,1
45,4,5,5,5,4,4,3,3,3,4,5,2,3,3,4,3,4,3,3
46,4,5,4,6,6,3,4,6,5,4,3,5,6,2,5,5,3,3,5
47,4,6,5,6,5,6,3,4,3,6,6,6,6,2,5,4,4,3,3
48,7,6,6,7,6,6,2,4,2,6,6,5,6,2,6,2,6,3,2
49,2,2,1,2,4,2,2,7,5,2,2,2,3,3,2,6,2,6,4
50,6,5,6,5,5,5,3,3,5,5,6,3,4,1,6,3,6,2,2
51,4,3,4,7,4,5,5,6,7,5,5,6,5,6,6,3,4,2,6
52,3,6,5,6,6,5,4,3,3,4,5,4,6,3,5,4,4,4,5
53,2,6,3,5,5,3,2,2,4,4,6,6,4,1,5,1,5,1,2
54,1,1,1,6,5,1,5,6,5,5,1,1,5,2,4,5,5,4,4
55,2,1,1,3,3,2,6,6,7,3,2,2,3,6,2,7,1,6,6
56,1,1,1,2,1,1,2,5,5,1,1,1,1,7,1,6,1,5,5
57,1,3,2,2,4,1,6,7,7,1,1,2,1,6,2,6,2,7,6
58,2,2,2,3,3,2,4,7,7,1,1,5,4,5,3,6,1,6,5
59,2,2,2,4,1,2,4,5,6,1,3,2,2,3,2,5,2,6,6
60,5,5,4,4,5,4,4,4,5,5,5,4,3,3,4,4,5,3,4
61,3,3,3,5,3,3,5,4,5,5,3,5,4,5,3,5,5,5,5
62,6,5,5,4,5,5,3,3,2,5,6,6,6,4,5,3,6,4,4
63,2,1,1,5,3,2,4,6,3,2,2,2,6,4,4,2,2,5,4
64,7,7,6,6,6,2,7,6,5,6,6,1,7,5,6,4,1,5,7
65,3,4,2,5,5,4,4,3,2,5,5,5,7,2,4,4,3,4,2
66,6,5,5,7,6,5,5,7,5,6,5,6,7,2,7,1,6,1,4
67,4,5,3,5,4,3,5,5,5,3,3,4,4,2,6,5,2,5,4
68,5,4,5,6,6,5,4,3,5,5,5,5,5,4,5,4,5,4,2
69,2,1,1,2,1,2,6,7,5,1,1,1,4,5,2,6,1,5,5
70,7,7,7,6,4,7,1,7,2,7,7,5,7,1,7,1,7,1,5
71,2,3,2,2,2,1,7,7,6,2,2,1,2,6,1,6,2,7,6
72,3,4,1,6,7,3,4,6,6,1,4,5,4,4,3,6,1,5,6
73,7,6,6,6,6,6,4,3,2,7,6,6,6,2,7,3,6,3,2
74,6,6,6,7,6,6,2,2,2,7,7,7,6,2,7,2,2,2,2
75,4,6,3,7,6,4,5,5,7,6,6,6,5,5,4,4,3,4,7
76,4,4,3,4,3,5,4,4,4,3,4,3,5,2,5,5,2,5,4
77,1,2,3,5,3,2,2,6,6,2,2,4,2,6,2,6,1,6,6
78,6,3,5,6,4,6,4,5,5,5,5,6,3,2,5,5,4,4,4
79,5,4,5,5,6,2,6,6,6,5,4,3,5,4,4,5,2,4,3
80,7,5,4,6,4,5,3,5,4,6,5,5,5,1,4,4,4,3,4
81,3,3,2,5,5,2,4,6,7,3,3,4,4,5,3,6,2,6,6
82,7,5,6,3,5,5,4,5,7,5,6,6,6,2,6,5,3,5,6
83,4,7,4,7,4,4,4,6,1,7,7,4,7,4,7,4,4,6,4
84,4,2,3,2,4,2,7,6,5,2,2,5,3,5,3,5,3,5,6
